500
14	1	2
9	10	8
16	9	16
15	5	7
15	13	12
19	20	8
11	13	12
17	11	7
10	11	1
13	19	1
12	13	14
17	20	9
5	19	2
12	4	7
14	12	6
7	20	6
15	6	18
15	6	16
2	17	20
3	2	2
20	2	14
5	14	9
5	15	3
16	1	9
12	10	12
17	15	15
14	18	9
14	13	3
9	12	9
2	13	18
14	19	13
8	5	5
1	19	11
7	20	15
20	17	20
8	20	7
5	17	2
11	9	3
14	9	13
20	6	11
8	3	15
16	8	19
2	18	1
17	1	9
1	1	7
6	15	5
18	14	20
4	9	4
15	4	8
14	15	19
2	13	3
15	17	16
18	11	8
8	13	8
12	7	1
12	8	11
1	7	12
5	6	17
1	2	2
12	16	19
8	9	11
10	17	5
6	11	11
6	18	2
5	6	14
11	13	2
2	14	18
2	2	20
15	15	5
18	12	13
7	11	3
20	11	17
20	13	10
18	10	15
4	5	9
6	14	17
4	12	4
17	6	9
2	9	11
13	9	20
2	14	1
3	6	7
7	7	15
5	20	15
20	2	13
11	8	12
15	2	12
19	20	5
8	8	16
10	1	12
3	6	1
16	1	18
3	16	5
18	8	12
1	1	16
5	13	20
11	2	10
15	2	8
12	5	10
16	14	8
6	2	11
6	13	10
9	14	6
6	4	4
13	11	10
8	1	8
3	13	1
5	11	18
19	7	8
5	20	12
15	5	4
8	7	16
2	14	7
3	8	13
3	16	10
1	19	19
6	11	10
5	3	20
15	17	17
16	13	14
10	18	2
12	5	4
7	9	12
12	5	3
17	1	4
8	2	18
3	7	16
16	5	7
11	13	12
18	5	20
19	11	2
11	10	15
6	14	17
13	13	6
19	15	3
15	15	20
8	8	14
12	2	5
13	7	4
7	3	2
17	12	6
6	7	16
5	11	20
5	8	7
9	12	18
12	5	11
1	6	8
7	1	12
3	20	11
8	8	9
13	5	11
6	2	16
4	12	13
3	6	12
12	18	9
1	6	2
9	15	7
3	17	16
19	16	6
1	9	8
11	1	11
2	19	16
8	8	14
14	16	10
13	11	20
5	18	12
2	17	4
14	14	14
2	19	19
20	7	11
19	16	14
20	6	19
3	15	17
19	8	7
20	2	6
17	5	2
11	14	1
5	15	11
4	3	20
2	13	14
4	13	5
15	13	18
3	10	18
5	11	5
7	16	14
18	3	3
16	10	8
18	8	16
3	1	5
13	7	17
18	17	19
7	14	13
8	7	3
17	1	14
2	14	9
15	19	6
15	9	2
15	10	19
14	17	20
20	5	15
18	8	9
15	8	1
12	15	20
14	6	16
2	17	3
9	12	8
4	9	10
12	7	14
17	7	16
7	19	12
13	6	8
16	8	12
20	12	12
2	7	14
17	5	9
14	14	7
18	17	6
2	12	16
9	19	9
16	7	12
13	2	7
5	15	20
5	16	12
5	10	7
11	5	14
15	16	12
19	5	8
19	7	3
6	14	10
10	7	20
2	1	18
13	3	3
14	4	12
9	15	2
13	20	6
6	8	18
5	6	14
2	18	2
20	17	4
2	18	10
4	18	3
8	15	18
9	12	9
3	1	18
17	5	12
4	1	15
5	13	13
8	8	3
16	8	14
20	5	10
16	10	19
1	17	17
20	14	12
15	8	10
8	12	16
15	2	4
15	15	7
7	10	12
4	9	9
6	9	5
19	12	18
14	17	11
8	1	8
2	16	15
18	19	17
15	3	8
18	18	15
4	20	10
6	12	5
3	10	8
18	2	7
17	4	16
3	7	3
13	16	10
4	2	19
1	6	10
18	4	18
13	18	9
7	5	9
3	15	5
9	11	7
4	11	8
8	12	10
19	14	11
6	15	6
2	7	17
15	19	5
4	1	20
7	6	18
7	18	8
4	15	7
17	14	4
4	7	10
5	1	18
5	3	18
6	4	10
2	10	5
17	9	2
1	17	11
10	4	4
6	8	20
5	5	12
3	7	20
9	11	20
18	11	10
7	19	17
7	6	14
14	15	18
19	8	17
11	16	17
1	13	4
12	4	19
12	2	15
2	3	4
11	11	10
3	13	15
20	3	3
14	18	9
15	18	5
10	20	14
10	10	18
19	11	4
14	18	4
1	7	1
8	11	12
16	11	9
16	13	15
7	13	19
12	19	20
12	4	20
4	11	14
5	20	20
9	19	17
20	4	7
14	6	18
2	12	11
15	20	12
19	15	2
4	20	4
7	2	17
3	8	14
13	9	10
13	11	13
19	11	20
20	16	5
3	1	13
17	7	7
18	13	6
8	7	18
17	1	2
7	13	20
15	16	14
20	5	19
16	3	14
16	5	16
16	14	4
3	5	6
13	14	20
7	4	17
10	20	1
20	3	18
9	8	19
14	18	18
7	13	19
4	6	16
